"Gene_name","logFC","AveExpr","P.Value","sens","sens_of_methylation","CpG_position"
"KCNN3",-1.8108199430123,0.961347833201923,0.0431554885635931,"down_regulated","hypermethylated","S_Shore"
"ATP1A4",-2.28726157517912,-1.90123367343501,0.00940131395640411,"down_regulated","hypermethylated",""
"SELL",1.62671892536006,8.79213608515177,0.0179988275109098,"up_regulated","hypermethylated","S_Shore"
"IL10",-2.35254371197686,-0.318462015880404,0.0491158277465497,"down_regulated","hypermethylated",""
"CR1",-2.53736609904416,4.2135607757153,0.0137814217724148,"down_regulated","hypermethylated",""
"RHOU",-1.833296292404,4.11760156271014,0.00320016947679013,"down_regulated","hypermethylated","N_Shore"
"SIPA1L2",-2.59735793774917,3.63661105056551,0.00917269417832639,"down_regulated","hypermethylated","Island"
"ZRANB2-AS2",1.89885653892595,1.396414024483,0.00423534798845254,"up_regulated","hypermethylated","N_Shore"
"ZRANB2-AS2",1.89885653892595,1.396414024483,0.00423534798845254,"up_regulated","hypermethylated","N_Shore"
"GBP2",1.63737076080399,5.9394389349624,0.0264021535575326,"up_regulated","hypermethylated","S_Shore"
"GBP2",1.63737076080399,5.9394389349624,0.0264021535575326,"up_regulated","hypermethylated","N_Shore"
"MIR1915",2.07679769786051,-4.854558471961,0.0252055874261036,"up_regulated","hypermethylated","Island"
"MIR1915",2.07679769786051,-4.854558471961,0.0252055874261036,"up_regulated","hypermethylated","Island"
"SPAG6",4.34773539998451,0.967734487225554,0.00403815577863636,"up_regulated","hypermethylated","Island"
"ZNF239",-1.94919703639809,1.27734830228221,0.036090632097353,"down_regulated","hypermethylated","S_Shore"
"NRGN",-2.42125661276934,4.70752997943411,0.0246748205287045,"down_regulated","hypermethylated","S_Shelf"
"P2RX3",-1.73967287208284,-3.92345619961896,0.00355348500148688,"down_regulated","hypermethylated","S_Shore"
"FOLR3",-3.08025422930163,-0.775456329002181,0.0222276478101116,"down_regulated","hypermethylated",""
"ZNF385A",-1.69742822740349,5.18809263210325,0.0143773507847649,"down_regulated","hypomethylated","N_Shelf"
"ZNF385A",-1.69742822740349,5.18809263210325,0.0143773507847649,"down_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated","S_Shelf"
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated","N_Shore"
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated","N_Shore"
"GPR162",1.71400958257593,3.94687119652984,0.0038369551478015,"up_regulated","hypermethylated",""
"SOCS2",2.28686279645576,4.80904938921603,0.013194084711259,"up_regulated","hypermethylated",""
"SOCS2",2.28686279645576,4.80904938921603,0.013194084711259,"up_regulated","hypermethylated",""
"SOCS2-AS1",2.21766163959903,2.71309354710706,0.019501234242883,"up_regulated","hypermethylated",""
"SOCS2-AS1",2.21766163959903,2.71309354710706,0.019501234242883,"up_regulated","hypermethylated",""
"COL4A2",-3.1848092196544,0.840837209267125,0.037886394488052,"down_regulated","hypermethylated","Island"
"COL4A2",-3.1848092196544,0.840837209267125,0.037886394488052,"down_regulated","hypermethylated","Island"
"RNASE1",-2.11806797048348,1.00378209991574,0.0190944391065483,"down_regulated","hypermethylated",""
"GALC",-2.55733076979374,5.14009943194628,0.000335850862025407,"down_regulated","hypermethylated","N_Shore"
"GALC",-2.55733076979374,5.14009943194628,0.000335850862025407,"down_regulated","hypermethylated",""
"GALC",-2.55733076979374,5.14009943194628,0.000335850862025407,"down_regulated","hypermethylated","S_Shore"
"ROGDI",-2.50350993536293,4.65166714139289,0.0106066539960811,"down_regulated","hypermethylated","N_Shelf"
"SMIM22",-2.16799973080708,-0.981108914871987,0.005400110577925,"down_regulated","hypermethylated","N_Shelf"
"SLFN12",-1.56964009603408,3.27903520757581,0.0268715437932077,"down_regulated","hypermethylated","Island"
"SLFN12",-1.56964009603408,3.27903520757581,0.0268715437932077,"down_regulated","hypermethylated","N_Shore"
"CD300LG",-1.91437893934888,-1.90063061305117,0.0273210296260623,"down_regulated","hypermethylated","S_Shore"
"HOXB-AS3",4.11243078753604,-1.32714918743522,0.00141384129890493,"up_regulated","hypomethylated",""
"HOXB-AS3",4.11243078753604,-1.32714918743522,0.00141384129890493,"up_regulated","hypomethylated","N_Shore"
"HOXB5",3.50154037719466,-0.722067849190058,0.00705046113336844,"up_regulated","hypomethylated",""
"HOXB5",3.50154037719466,-0.722067849190058,0.00705046113336844,"up_regulated","hypomethylated","N_Shore"
"HOXB6",2.80722590594779,-1.00541944679497,0.031421536106191,"up_regulated","hypomethylated",""
"HOXB6",2.80722590594779,-1.00541944679497,0.031421536106191,"up_regulated","hypomethylated","N_Shore"
"GPR142",2.175761615178,-3.04788429860609,0.0077569727656503,"up_regulated","hypermethylated",""
"SEMA6B",-2.1546618996486,1.07543970828427,0.008732058530108,"down_regulated","hypermethylated","N_Shore"
"SIGLEC7",-1.66651551911519,1.11242003124999,0.0433027227650226,"down_regulated","hypermethylated","Island"
"SIGLEC7",-1.66651551911519,1.11242003124999,0.0433027227650226,"down_regulated","hypermethylated","Island"
"SIGLEC7",-1.66651551911519,1.11242003124999,0.0433027227650226,"down_regulated","hypermethylated","S_Shelf"
"SATB2",-1.65869169349898,0.476608004171855,0.037305012687335,"down_regulated","hypomethylated","N_Shore"
"SATB2",-1.65869169349898,0.476608004171855,0.037305012687335,"down_regulated","hypomethylated","N_Shore"
"GGT5",-1.89700588218285,3.50173165325107,0.028504911263188,"down_regulated","hypermethylated",""
"GGT5",-1.89700588218285,3.50173165325107,0.028504911263188,"down_regulated","hypermethylated","S_Shore"
"KLHDC7B",-1.75337448509052,2.8260076503365,0.00827715897597189,"down_regulated","hypermethylated","S_Shore"
"ZIC4",-1.55869819580453,-4.65074558369389,0.00216241067742045,"down_regulated","hypomethylated","Island"
"FLNB-AS1",1.94996176106775,3.03091090416327,0.00237368431001948,"up_regulated","hypermethylated",""
"SNX25",1.71659864493524,2.17860857682222,0.0348240398733911,"up_regulated","hypermethylated","S_Shore"
"S100P",-2.98536698147998,1.59049675220931,0.026921528906795,"down_regulated","hypermethylated",""
"S100P",-2.98536698147998,1.59049675220931,0.026921528906795,"down_regulated","hypermethylated","S_Shore"
"PCDHGB1",2.48068899681495,-1.81800758451758,0.0084645133489131,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB14",2.01227752118759,0.188100598666415,0.025320549390997,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"PCDHB13",2.47443710305935,0.0115495777565301,0.0065837022910572,"up_regulated","hypomethylated","N_Shore"
"PCDHB14",2.01227752118759,0.188100598666415,0.025320549390997,"up_regulated","hypomethylated","Island"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","Island"
"PCDHB13",2.47443710305935,0.0115495777565301,0.0065837022910572,"up_regulated","hypomethylated","Island"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","Island"
"PCDHGB1",2.48068899681495,-1.81800758451758,0.0084645133489131,"up_regulated","hypomethylated","Island"
"PCDHB14",2.01227752118759,0.188100598666415,0.025320549390997,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB13",2.47443710305935,0.0115495777565301,0.0065837022910572,"up_regulated","hypomethylated","N_Shore"
"PCDHGB1",2.48068899681495,-1.81800758451758,0.0084645133489131,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"PCDHB14",2.01227752118759,0.188100598666415,0.025320549390997,"up_regulated","hypomethylated","N_Shore"
"PCDHB13",2.47443710305935,0.0115495777565301,0.0065837022910572,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"PCDHB13",2.47443710305935,0.0115495777565301,0.0065837022910572,"up_regulated","hypomethylated","N_Shore"
"PCDHGB1",2.48068899681495,-1.81800758451758,0.0084645133489131,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"PCDHGB1",2.48068899681495,-1.81800758451758,0.0084645133489131,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB11",2.22719161477991,-1.71363921586887,0.0492506473074879,"up_regulated","hypomethylated","N_Shore"
"PCDHB15",1.77865741670113,-0.223028191441556,0.0213221883851809,"up_regulated","hypomethylated","N_Shore"
"HCG11",-1.63951221946891,3.42970945857086,0.0211015501388178,"down_regulated","hypermethylated","N_Shore"
"HCG11",-1.63951221946891,3.42970945857086,0.0211015501388178,"down_regulated","hypermethylated","N_Shore"
"NKAPL",-1.53864486054488,-3.04758723283885,0.0430521021431537,"down_regulated","hypermethylated","S_Shore"
"NKAPL",-1.53864486054488,-3.04758723283885,0.0430521021431537,"down_regulated","hypermethylated","Island"
"DDR1",2.1156915954676,2.67547694452836,0.0163745801288199,"up_regulated","hypermethylated",""
"DDR1",2.1156915954676,2.67547694452836,0.0163745801288199,"up_regulated","hypermethylated",""
"ASIC3",1.71633361616306,1.51637280360773,0.0165689270117212,"up_regulated","hypermethylated","Island"
"HOXA13",2.82132302828124,-3.91570663668103,0.0429479360913602,"up_regulated","hypomethylated","S_Shore"
"HOXA13",2.82132302828124,-3.91570663668103,0.0429479360913602,"up_regulated","hypomethylated","S_Shore"
"HOXA13",2.82132302828124,-3.91570663668103,0.0429479360913602,"up_regulated","hypomethylated","Island"
"RNU6-1255P",-1.89890662965739,-1.85675692722854,0.012784147989564,"down_regulated","hypermethylated","N_Shelf"
"NPM2",1.80124435003442,2.32030904372777,0.000936564741844277,"up_regulated","hypermethylated","S_Shore"
"NPM2",1.80124435003442,2.32030904372777,0.000936564741844277,"up_regulated","hypermethylated","S_Shore"
"FGF17",2.15651630435568,1.16349661318577,0.0014303989615765,"up_regulated","hypermethylated","S_Shore"
"FGF17",2.15651630435568,1.16349661318577,0.0014303989615765,"up_regulated","hypermethylated","S_Shore"
"NPM2",1.80124435003442,2.32030904372777,0.000936564741844277,"up_regulated","hypermethylated","S_Shore"
"NPM2",1.80124435003442,2.32030904372777,0.000936564741844277,"up_regulated","hypermethylated","S_Shore"
"FGF17",2.15651630435568,1.16349661318577,0.0014303989615765,"up_regulated","hypermethylated","S_Shore"
"FGF17",2.15651630435568,1.16349661318577,0.0014303989615765,"up_regulated","hypermethylated","S_Shore"
"ENTPD2",1.52005671986253,-2.36366488080779,0.0152955757610496,"up_regulated","hypermethylated","S_Shelf"
"ENTPD2",1.52005671986253,-2.36366488080779,0.0152955757610496,"up_regulated","hypermethylated","S_Shelf"
"NPDC1",2.16855203273432,4.91544133226936,0.0251524414892248,"up_regulated","hypermethylated","S_Shelf"
"ENTPD2",1.52005671986253,-2.36366488080779,0.0152955757610496,"up_regulated","hypermethylated","N_Shore"
"SLC34A3",1.51100603888088,0.301451803605595,0.00527084173228488,"up_regulated","hypermethylated","N_Shore"
"ATP2B3",-1.5194632457935,-1.7996637860625,0.0474814755780002,"down_regulated","hypermethylated","N_Shelf"
"RNU6-29P",-2.00548806796699,-3.71703470033271,0.00156255444917666,"down_regulated","hypermethylated","Island"
