"","nb_enhancer_hyper","nb_enhancer_hypo","nb_enhancer_unchanged","total_enhancers","percent_hyper","DM"
"PLEKHB2",30,2,63,95,31.5789473684211,32
"AC142528.1",29,2,69,100,29,31
"ADI1",29,2,69,100,29,31
"AC012467.1",27,2,50,79,34.1772151898734,29
"ACTR8",27,2,50,79,34.1772151898734,29
"C1orf109",25,0,41,66,37.8787878787879,25
"CDCA8",25,0,41,66,37.8787878787879,25
"CHD1",25,3,72,100,25,28
"CTD-2007H13.3",25,3,72,100,25,28
"INPP5A",25,0,24,49,51.0204081632653,25
"CDCA2",24,1,47,72,33.3333333333333,25
"HUS1",24,0,57,81,29.6296296296296,24
"KCTD9",24,1,47,72,33.3333333333333,25
"THAP2",24,2,84,110,21.8181818181818,26
"ZFC3H1",24,2,84,110,21.8181818181818,26
"IRF2BP2",23,1,20,44,52.2727272727273,24
"RP4-781K5.2",23,1,20,44,52.2727272727273,24
"SLC25A3",23,2,74,99,23.2323232323232,25
"CTD-2256P15.2",22,0,43,65,33.8461538461538,22
"MARCH6",22,0,43,65,33.8461538461538,22
"POLR3A",22,0,15,37,59.4594594594595,22
"RHBDD2",22,0,32,54,40.7407407407407,22
"RPS24",22,0,15,37,59.4594594594595,22
"C10orf91",21,0,19,40,52.5,21
"CTD-2047H16.4",21,0,15,36,58.3333333333333,21
"ENDOV",21,0,15,36,58.3333333333333,21
"FAM168B",21,1,48,70,30,22
"DUSP5",20,1,59,80,25,21
"RP1-43E13.2",20,1,31,52,38.4615384615385,21
"RP11-1007G5.2",20,0,40,60,33.3333333333333,20
"RP11-525A16.4",20,1,59,80,25,21
"RPS7",20,2,55,77,25.974025974026,22
"UBR4",20,1,31,52,38.4615384615385,21
"AC062017.1",19,0,30,49,38.7755102040816,19
"FAM53B",19,0,29,48,39.5833333333333,19
"HDAC4",19,0,30,49,38.7755102040816,19
"LONRF1",19,0,38,57,33.3333333333333,19
"MSMB",19,0,34,53,35.8490566037736,19
"AC009120.4",18,1,38,57,31.5789473684211,19
"ACBD6",18,0,19,37,48.6486486486487,18
"ALKBH2",18,0,7,25,72,18
"CCDC174",18,1,30,49,36.734693877551,19
"ETS1",18,0,39,57,31.5789473684211,18
"FAM105A",18,0,42,60,30,18
"GSE1",18,0,18,36,50,18
"IFFO1",18,0,20,38,47.3684210526316,18
"NABP1",18,0,23,41,43.9024390243902,18
"NGLY1",18,2,60,80,22.5,20
"OXSM",18,2,60,80,22.5,20
"PSMD7",18,1,38,57,31.5789473684211,19
"RAB28",18,1,60,79,22.7848101265823,19
"RP11-539L10.3",18,0,22,40,45,18
"UNG",18,0,9,27,66.6666666666667,18
"ZRANB2",18,1,38,57,31.5789473684211,19
"AC010883.5",17,0,28,45,37.7777777777778,17
"AC021188.4",17,0,30,47,36.1702127659575,17
"BRAT1",17,0,15,32,53.125,17
"C7orf65",17,0,34,51,33.3333333333333,17
"CHD4",17,0,21,38,44.7368421052632,17
"CTDSP2",17,0,19,36,47.2222222222222,17
"DENND3",17,0,21,38,44.7368421052632,17
"GAPDH",17,0,23,40,42.5,17
"HMGB1",17,0,24,41,41.4634146341463,17
"MAML3",17,0,29,46,36.9565217391304,17
"MXD3",17,0,13,30,56.6666666666667,17
"NOP2",17,0,21,38,44.7368421052632,17
"RNU6-958P",17,0,19,36,47.2222222222222,17
"RP5-940J5.3",17,0,23,40,42.5,17
"SMNDC1",17,0,54,71,23.943661971831,17
"TIMM10",17,1,24,42,40.4761904761905,18
"USPL1",17,0,24,41,41.4634146341463,17
"VAMP1",17,0,9,26,65.3846153846154,17
"C9orf50",16,0,11,27,59.2592592592593,16
"CHML",16,0,29,45,35.5555555555556,16
"CNNM4",16,0,24,40,40,16
"CORO1C",16,0,9,25,64,16
"HLA-DOB",16,0,14,30,53.3333333333333,16
"HS2ST1",16,3,22,41,39.0243902439024,19
"hsa-mir.1",16,0,28,44,36.3636363636364,16
"KIAA0232",16,0,24,40,40,16
"KPNA5",16,2,48,66,24.2424242424242,18
"MED13L",16,0,35,51,31.3725490196078,16
"NCOR2",16,0,17,33,48.4848484848485,16
"NTMT1",16,0,11,27,59.2592592592593,16
"RARA",16,1,13,30,53.3333333333333,17
"RERE",16,0,24,40,40,16
"RP11-730K11.1",16,0,11,27,59.2592592592593,16
"SELK",16,2,33,51,31.3725490196078,18
"SEP15",16,3,22,41,39.0243902439024,19
"snoU13.272",16,0,14,30,53.3333333333333,16
"SORL1",16,0,11,27,59.2592592592593,16
"TNS3",16,0,31,47,34.0425531914894,16
"ZRANB2-AS2",16,1,36,53,30.188679245283,17
"AC009677.1",15,0,20,35,42.8571428571429,15
"ACRBP",15,0,20,35,42.8571428571429,15
"AL359878.1",15,0,35,50,30,15
"AP003041.2",15,0,16,31,48.3870967741936,15
"APLP2",15,0,16,31,48.3870967741936,15
"CD27-AS1",15,0,6,21,71.4285714285714,15
"CDH15",15,0,4,19,78.9473684210526,15
"CISD1",15,0,42,57,26.3157894736842,15
"DIEXF",15,0,30,45,33.3333333333333,15
"DNAJB9",15,1,40,56,26.7857142857143,16
"FAM114A2",15,1,33,49,30.6122448979592,16
"FOXN3",15,0,28,43,34.8837209302326,15
"GTPBP4",15,0,35,50,30,15
"IL19",15,0,13,28,53.5714285714286,15
"IPMK",15,0,42,57,26.3157894736842,15
"KATNAL1",15,0,19,34,44.1176470588235,15
"MARCH8",15,0,17,32,46.875,15
"MARCH9",15,0,28,43,34.8837209302326,15
"MFAP3",15,1,33,49,30.6122448979592,16
"MRFAP1",15,0,23,38,39.4736842105263,15
"MSL1",15,0,14,29,51.7241379310345,15
"NCAPH",15,0,22,37,40.5405405405405,15
"PGRMC2",15,0,35,50,30,15
"PNPLA8",15,1,40,56,26.7857142857143,16
"RN7SL391P",15,0,8,23,65.2173913043478,15
"ROPN1L",15,0,27,42,35.7142857142857,15
"ROPN1L-AS1",15,0,27,42,35.7142857142857,15
"RP11-46C24.3",15,0,4,19,78.9473684210526,15
"RP11-689B22.2",15,0,10,25,60,15
"RP11-944C7.1",15,0,28,43,34.8837209302326,15
"RPL37",15,0,16,31,48.3870967741936,15
"SELPLG",15,0,10,25,60,15
"SNX14",15,0,58,73,20.5479452054795,15
"TAPBPL",15,0,6,21,71.4285714285714,15
"THAP5",15,1,40,56,26.7857142857143,16
"TNFRSF1A",15,0,8,23,65.2173913043478,15
"U8.13",15,1,19,35,42.8571428571429,16
"Y_RNA.782",15,0,28,43,34.8837209302326,15
"ZFP36L2",15,0,21,36,41.6666666666667,15
"AC009505.2",14,0,34,48,29.1666666666667,14
"AC090952.5",14,1,23,38,36.8421052631579,15
"AC093267.1",14,1,24,39,35.8974358974359,15
"AE000662.92",14,1,24,39,35.8974358974359,15
"AE000662.93",14,1,24,39,35.8974358974359,15
"AMHR2",14,0,11,25,56,14
"ANXA11",14,0,21,35,40,14
"APOLD1",14,0,18,32,43.75,14
"ARL5B",14,0,52,66,21.2121212121212,14
"ARL5B-AS1",14,0,52,66,21.2121212121212,14
"ATN1",14,0,18,32,43.75,14
"C12orf57",14,0,19,33,42.4242424242424,14
"C12orf65",14,0,12,26,53.8461538461538,14
"CARD6",14,0,15,29,48.2758620689655,14
"CDK4",14,0,25,39,35.8974358974359,14
"CNNM3",14,0,23,37,37.8378378378378,14
"CTC-487M23.8",14,1,32,47,29.7872340425532,15
"DHFRL1",14,1,65,80,17.5,15
"DUSP2",14,0,22,36,38.8888888888889,14
"EIF1B",14,1,36,51,27.4509803921569,15
"FAIM3",14,0,11,25,56,14
"FASTKD3",14,1,31,46,30.4347826086957,15
"ING4",14,0,19,33,42.4242424242424,14
"ISCU",14,0,7,21,66.6666666666667,14
"KBTBD8",14,1,23,38,36.8421052631579,15
"KLHDC4",14,0,18,32,43.75,14
"KLHL21",14,0,13,27,51.8518518518518,14
"LINC00167",14,0,18,32,43.75,14
"LINC00857",14,0,21,35,40,14
"MIR130A",14,0,17,31,45.1612903225806,14
"MPHOSPH9",14,0,12,26,53.8461538461538,14
"MTDH",14,1,25,40,35,15
"MTRR",14,1,31,46,30.4347826086957,15
"NDUFA10",14,0,21,35,40,14
"NSUN3",14,1,65,80,17.5,15
"PDCD10",14,0,43,57,24.5614035087719,14
"PHF13",14,0,13,27,51.8518518518518,14
"PIGR",14,0,13,27,51.8518518518518,14
"PPID",14,0,33,47,29.7872340425532,14
"PRDM10",14,0,18,32,43.75,14
"PTRF",14,1,16,31,45.1612903225806,15
"RN7SKP107",14,0,22,36,38.8888888888889,14
"RNU7",14,0,18,32,43.75,14
"RNU7-169P",14,0,7,21,66.6666666666667,14
"RP11-180M15.4",14,0,18,32,43.75,14
"RP11-353K11.1",14,0,23,37,37.8378378378378,14
"RP5-902P8.10",14,0,7,21,66.6666666666667,14
"RSL24D1",14,0,33,47,29.7872340425532,14
"SERPINI1",14,0,43,57,24.5614035087719,14
"SLC43A1",14,1,15,30,46.6666666666667,15
"SRP19",14,1,32,47,29.7872340425532,15
"TP73",14,0,15,29,48.2758620689655,14
"TSFM",14,0,12,26,53.8461538461538,14
"UBE2J2",14,0,7,21,66.6666666666667,14
"WRAP73",14,0,15,29,48.2758620689655,14
"AAAS",13,0,10,23,56.5217391304348,13
"AP000662.4",13,1,18,32,40.625,14
"ARL6IP5",13,0,26,39,33.3333333333333,13
"ATP6V0A1",13,0,8,21,61.9047619047619,13
"BNIP3",13,0,24,37,35.1351351351351,13
"BRD7",13,0,27,40,32.5,13
"C6orf48",13,0,6,19,68.4210526315789,13
"CAPZB",13,0,22,35,37.1428571428571,13
"CCNK",13,0,18,31,41.9354838709677,13
"CCT5",13,1,24,38,34.2105263157895,14
"CDC16",13,0,9,22,59.0909090909091,13
"CDC6",13,1,13,27,48.1481481481481,14
"CIAO1",13,0,21,34,38.2352941176471,13
"CLP1",13,1,18,32,40.625,14
"CMPK2",13,0,24,37,35.1351351351351,13
"CNP",13,0,14,27,48.1481481481481,13
"COTL1",13,0,13,26,50,13
"CSGALNACT2",13,1,31,45,28.8888888888889,14
"CTD-2256P15.1",13,1,24,38,34.2105263157895,14
"CYB5RL",13,0,9,22,59.0909090909091,13
"CYP27B1",13,0,19,32,40.625,13
"EEF1B2",13,0,30,43,30.2325581395349,13
"FAM173B",13,1,24,38,34.2105263157895,14
"GDAP2",13,0,15,28,46.4285714285714,13
"GRK5",13,0,17,30,43.3333333333333,13
"GRK5-IT1",13,0,17,30,43.3333333333333,13
"MAK16",13,0,26,39,33.3333333333333,13
"MATN1",13,0,20,33,39.3939393939394,13
"MATN1-AS1",13,0,20,33,39.3939393939394,13
"METTL1",13,0,12,25,52,13
"METTL21B",13,0,12,25,52,13
"MIR153",13,0,38,51,25.4901960784314,13
"MR1",13,0,9,22,59.0909090909091,13
"MRPL22",13,3,45,61,21.3114754098361,16
"MRPL36",13,0,29,42,30.952380952381,13
"MRPL37",13,0,9,22,59.0909090909091,13
"NBL1",13,0,20,33,39.3939393939394,13
"NCAPD2",13,0,10,23,56.5217391304348,13
"NDUFS1",13,0,29,42,30.952380952381,13
"NDUFS6",13,0,29,42,30.952380952381,13
"PADI2",13,0,17,30,43.3333333333333,13
"PFDN5",13,0,10,23,56.5217391304348,13
"PRKCH",13,1,38,52,25,14
"PSMB9",13,0,12,25,52,13
"PTMS",13,0,14,27,48.1481481481481,13
"RNF207",13,0,15,28,46.4285714285714,13
"RP1-120G22.11",13,0,15,28,46.4285714285714,13
"RP11-17M16.1",13,0,7,20,65,13
"RP11-21B23.1",13,0,27,40,32.5,13
"RP11-245J9.4",13,0,42,55,23.6363636363636,13
"RP11-312B8.1",13,0,19,32,40.625,13
"RP11-313D6.3",13,1,31,45,28.8888888888889,14
"RP11-351D16.3",13,1,31,45,28.8888888888889,14
"RP11-446E24.4",13,0,9,22,59.0909090909091,13
"RP11-571M6.15",13,0,12,25,52,13
"RP11-809O17.1",13,0,20,33,39.3939393939394,13
"RP11-872D17.8",13,1,18,32,40.625,14
"RP4-761J14.8",13,0,14,27,48.1481481481481,13
"RP5-1115A15.2",13,0,13,26,50,13
"RPL22",13,0,15,28,46.4285714285714,13
"SETD3",13,0,18,31,41.9354838709677,13
"SLC43A3",13,1,18,32,40.625,14
"SLC45A4",13,0,19,32,40.625,13
"SNORA77.1",13,0,13,26,50,13
"SNORD52",13,0,5,18,72.2222222222222,13
"SP7",13,0,5,18,72.2222222222222,13
"TAP1",13,0,11,24,54.1666666666667,13
"TMEM127",13,0,21,34,38.2352941176471,13
"TRIO",13,0,30,43,30.2325581395349,13
"UBC",13,0,19,32,40.625,13
"UBE2Q1",13,0,16,29,44.8275862068966,13
"UGGT1",13,0,23,36,36.1111111111111,13
"WDR3",13,0,15,28,46.4285714285714,13
"YOD1",13,0,17,30,43.3333333333333,13
"YPEL4",13,1,18,32,40.625,14
"ZNF516",13,0,7,20,65,13
"ACAD8",12,0,40,52,23.0769230769231,12
"AEN",12,0,17,29,41.3793103448276,12
"AGAP2",12,0,23,35,34.2857142857143,12
"ALDH4A1",12,3,19,34,35.2941176470588,15
"ANKRD33B",12,0,22,34,35.2941176470588,12
"ANXA6",12,0,15,27,44.4444444444444,12
"ARGLU1",12,0,15,27,44.4444444444444,12
"ASTL",12,0,17,29,41.3793103448276,12
"C7orf69",12,0,25,37,32.4324324324324,12
"CALM2",12,0,5,17,70.5882352941177,12
"CBX2",12,0,20,32,37.5,12
"CCDC147",12,0,17,29,41.3793103448276,12
"CCDC147-AS1",12,0,17,29,41.3793103448276,12
"CCNG1",12,1,30,43,27.906976744186,13
"CD27",12,0,6,18,66.6666666666667,12
"CHSY1",12,0,16,28,42.8571428571429,12
"CNEP1R1",12,0,16,28,42.8571428571429,12
"CUX1",12,0,18,30,40,12
"DDX39B",12,0,11,23,52.1739130434783,12
"DDX39B-AS1",12,0,11,23,52.1739130434783,12
"DPH1",12,1,18,31,38.7096774193548,13
"EIF3A",12,0,16,28,42.8571428571429,12
"F12",12,0,5,17,70.5882352941177,12
"FEM1C",12,1,43,56,21.4285714285714,13
"FLJ20373",12,0,11,23,52.1739130434783,12
"FNDC3B",12,0,28,40,30,12
"FOXP1",12,0,22,34,35.2941176470588,12
"GLYR1",12,0,21,33,36.3636363636364,12
"GRK6",12,0,5,17,70.5882352941177,12
"HLA-DQA2",12,0,13,25,48,12
"HLA-DQB2",12,0,13,25,48,12
"HMGCS1",12,0,24,36,33.3333333333333,12
"HMMR",12,0,27,39,30.7692307692308,12
"HNMT",12,0,21,33,36.3636363636364,12
"HSPA1A",12,0,9,21,57.1428571428571,12
"HSPA1L",12,0,9,21,57.1428571428571,12
"ISG20L2",12,0,24,36,33.3333333333333,12
"KDM1B",12,0,16,28,42.8571428571429,12
"LAG3",12,0,14,26,46.1538461538462,12
"LAMB3",12,0,29,41,29.2682926829268,12
"LFNG",12,0,10,22,54.5454545454545,12
"LINC00525",12,0,29,41,29.2682926829268,12
"LSM2",12,0,7,19,63.1578947368421,12
"MAP3K12",12,0,14,26,46.1538461538462,12
"MIR1290",12,3,19,34,35.2941176470588,15
"MLF2",12,0,14,26,46.1538461538462,12
"MRPL46",12,0,29,41,29.2682926829268,12
"MRPS11",12,0,29,41,29.2682926829268,12
"NFATC1",12,0,19,31,38.7096774193548,12
"NSUN6",12,0,40,52,23.0769230769231,12
"NUDCD2",12,0,27,39,30.7692307692308,12
"P2RX3",12,1,21,34,35.2941176470588,13
"PABPC1",12,0,20,32,37.5,12
"PFN3",12,0,5,17,70.5882352941177,12
"RAI1",12,0,14,26,46.1538461538462,12
"RAN",12,0,18,30,40,12
"RANBP9",12,0,9,21,57.1428571428571,12
"REST",12,0,32,44,27.2727272727273,12
"RGS10",12,0,19,31,38.7096774193548,12
"RNU2-38P",12,0,48,60,20,12
"RP11-135A1.2",12,0,31,43,27.906976744186,12
"RP11-154H23.3",12,0,22,34,35.2941176470588,12
"RP11-46F15.2",12,0,9,21,57.1428571428571,12
"RP11-47I22.1",12,0,26,38,31.5789473684211,12
"RP11-47I22.4",12,0,25,37,32.4324324324324,12
"RP11-541P9.3",12,1,30,43,27.906976744186,13
"RP11-761B3.1",12,0,5,17,70.5882352941177,12
"RP11-872D17.4",12,1,27,40,30,13
"RP5-1170K4.7",12,0,14,26,46.1538461538462,12
"RPS21",12,0,15,27,44.4444444444444,12
"RRNAD1",12,0,24,36,33.3333333333333,12
"SND1",12,1,32,45,26.6666666666667,13
"SNORD72",12,0,6,18,66.6666666666667,12
"SREBF1",12,0,6,18,66.6666666666667,12
"SSRP1",12,1,21,34,35.2941176470588,13
"THYN1",12,0,40,52,23.0769230769231,12
"TMPRSS6",12,0,14,26,46.1538461538462,12
"TPMT",12,0,16,28,42.8571428571429,12
"TPRG1L",12,0,9,21,57.1428571428571,12
"UBE2Q1-AS1",12,0,16,28,42.8571428571429,12
"UBN1",12,0,21,33,36.3636363636364,12
"WDR59",12,0,9,21,57.1428571428571,12
"WDR82",12,1,11,24,50,13
"ZNF697",12,0,28,40,30,12
"ZNRF1",12,0,9,21,57.1428571428571,12
"AAMP",11,2,30,43,25.5813953488372,13
"AC006486.1",11,1,13,25,44,12
"AC011747.7",11,0,17,28,39.2857142857143,11
"AC019131.1",11,0,13,24,45.8333333333333,11
"AC073255.1",11,0,19,30,36.6666666666667,11
"ADAM30",11,0,32,43,25.5813953488372,11
"AGAP7",11,0,17,28,39.2857142857143,11
"AGPAT5",11,3,44,58,18.9655172413793,14
"ANKH",11,0,33,44,25,11
"APAF1",11,1,46,58,18.9655172413793,12
"ATOX1",11,0,21,32,34.375,11
"BEAN1",11,0,22,33,33.3333333333333,11
"BLOC1S4",11,0,20,31,35.4838709677419,11
"BRD2",11,0,4,15,73.3333333333333,11
"BRPF1",11,1,25,37,29.7297297297297,12
"C1orf174",11,0,10,21,52.3809523809524,11
"C4orf33",11,0,18,29,37.9310344827586,11
"C7orf73",11,1,20,32,34.375,12
"CAHM",11,0,55,66,16.6666666666667,11
"CAPRIN2",11,0,16,27,40.7407407407407,11
"CCDC59",11,2,27,40,27.5,13
"CCL24",11,0,28,39,28.2051282051282,11
"CD4",11,0,12,23,47.8260869565217,11
"CENPF",11,0,30,41,26.8292682926829,11
"CHCHD7",11,1,28,40,27.5,12
"CSDE1",11,0,21,32,34.375,11
"CTB-40H15.4",11,0,33,44,25,11
"CTD-2541M15.1",11,3,44,58,18.9655172413793,14
"DEXI",11,0,22,33,33.3333333333333,11
"DHRS3",11,0,13,24,45.8333333333333,11
"DYNC1LI2",11,0,13,24,45.8333333333333,11
"EED",11,0,24,35,31.4285714285714,11
"EIF4E",11,0,13,24,45.8333333333333,11
"ERAP2",11,1,20,32,34.375,12
"ERF",11,1,13,25,44,12
"ESYT2",11,0,16,27,40.7407407407407,11
"EXOC7",11,0,8,19,57.8947368421053,11
"FAM131C",11,0,9,20,55,11
"FARS2",11,0,18,29,37.9310344827586,11
"FMNL1",11,0,8,19,57.8947368421053,11
"FOS",11,0,28,39,28.2051282051282,11
"FOXRED1",11,0,27,38,28.9473684210526,11
"FYB",11,0,11,22,50,11
"G3BP1",11,0,21,32,34.375,11
"GHITM",11,0,31,42,26.1904761904762,11
"GRPEL1",11,0,14,25,44,11
"GSK3A",11,1,13,25,44,12
"GSTO2",11,0,17,28,39.2857142857143,11
"HDGF",11,0,21,32,34.375,11
"HES1",11,0,22,33,33.3333333333333,11
"HIF1A",11,1,25,37,29.7297297297297,12
"HIF1A-AS1",11,1,25,37,29.7297297297297,12
"ID2",11,0,17,28,39.2857142857143,11
"IGF1R",11,0,36,47,23.4042553191489,11
"IKBIP",11,1,46,58,18.9655172413793,12
"LAMA5",11,0,11,22,50,11
"LEFTY1",11,0,17,28,39.2857142857143,11
"LINC01011",11,0,25,36,30.5555555555556,11
"LINC01134",11,0,10,21,52.3809523809524,11
"LMAN2",11,0,7,18,61.1111111111111,11
"LYRM4",11,0,18,29,37.9310344827586,11
"MAP1LC3B2",11,0,18,29,37.9310344827586,11
"MBNL2",11,0,21,32,34.375,11
"MDH2",11,0,15,26,42.3076923076923,11
"MED24",11,0,10,21,52.3809523809524,11
"METTL25",11,2,27,40,27.5,13
"MIR1227",11,0,2,13,84.6153846153846,11
"MIR4482",11,0,17,28,39.2857142857143,11
"MIR7",11,0,21,32,34.375,11
"MON2",11,1,28,40,27.5,12
"MRPL19",11,2,19,32,34.375,13
"MSH5-SAPCD1",11,0,7,18,61.1111111111111,11
"MXI1",11,0,30,41,26.8292682926829,11
"NKD1",11,0,18,29,37.9310344827586,11
"NPY4R",11,0,33,44,25,11
"NQO2",11,0,25,36,30.5555555555556,11
"PCF11",11,1,30,42,26.1904761904762,12
"PICALM",11,0,23,34,32.3529411764706,11
"PIK3CA",11,0,29,40,27.5,11
"PLAG1",11,1,28,40,27.5,12
"PLEKHJ1",11,0,4,15,73.3333333333333,11
"PNKD",11,2,31,44,25,13
"PRR7",11,0,0,11,100,11
"QKI",11,0,55,66,16.6666666666667,11
"RAB43",11,0,11,22,50,11
"RGS14",11,0,7,18,61.1111111111111,11
"RP11-184A2.2",11,0,28,39,28.2051282051282,11
"RP11-338I21.1",11,0,31,42,26.1904761904762,11
"RP11-350N15.5",11,0,37,48,22.9166666666667,11
"RP11-360P21.2",11,0,29,40,27.5,11
"RP11-474O21.5",11,0,13,24,45.8333333333333,11
"RP11-549L6.3",11,0,30,41,26.8292682926829,11
"RP11-54C4.1",11,0,21,32,34.375,11
"RP11-571L19.7",11,0,13,24,45.8333333333333,11
"RP11-61A14.4",11,0,13,24,45.8333333333333,11
"RP11-66D17.5",11,0,25,36,30.5555555555556,11
"RP11-77I22.2",11,0,16,27,40.7407407407407,11
"RP11-809C9.2",11,0,18,29,37.9310344827586,11
"RP5-1115A15.1",11,0,18,29,37.9310344827586,11
"RP5-997D24.3",11,0,5,16,68.75,11
"RPL29",11,1,11,23,47.8260869565217,12
"RPTOR",11,0,11,22,50,11
"RSAD2",11,0,15,26,42.3076923076923,11
"SCLT1",11,0,18,29,37.9310344827586,11
"SERPINB1",11,0,21,32,34.375,11
"SEZ6",11,0,12,23,47.8260869565217,11
"SIRT5",11,0,16,27,40.7407407407407,11
"SLC34A1",11,0,6,17,64.7058823529412,11
"SMG6",11,0,11,22,50,11
"SNAPC1",11,1,22,34,32.3529411764706,12
"SNORA59A",11,1,14,26,42.3076923076923,12
"snoU13.196",11,1,21,33,33.3333333333333,12
"SNX2",11,1,22,34,32.3529411764706,12
"SRCAP",11,0,14,25,44,11
"SRPR",11,0,27,38,28.9473684210526,11
"SSBP3",11,0,11,22,50,11
"SSBP3-AS1",11,0,5,16,68.75,11
"STYXL1",11,0,15,26,42.3076923076923,11
"SYNCRIP",11,0,45,56,19.6428571428571,11
"TFB1M",11,0,17,28,39.2857142857143,11
"TMEM71",11,0,24,35,31.4285714285714,11
"TNFAIP8",11,0,17,28,39.2857142857143,11
"TNIP2",11,0,8,19,57.8947368421053,11
"TOM1L2",11,0,5,16,68.75,11
"WHSC1L1",11,0,37,48,22.9166666666667,11
"WRAP53",11,0,21,32,34.375,11
"YWHAZ",11,0,16,27,40.7407407407407,11
"ZDHHC5",11,0,19,30,36.6666666666667,11
"AC003104.1",10,1,9,20,50,11
"AC018878.3",10,0,12,22,45.4545454545455,10
"AC022210.2",10,0,17,27,37.037037037037,10
"AC073934.6",10,1,19,30,33.3333333333333,11
