"","Non_responder","Responder","delta"
"AR",-0.299411595547964,0.292509894921901,-0.591921490469864
"ARNTL",0.00461052172873753,-0.113200606719863,0.117811128448601
"ATF1",-0.216775090944743,0.127588733249452,-0.344363824194195
"ATF2",0.182380027265097,-0.140413595350739,0.322793622615835
"ATF4",0.0670150586903105,-0.175034050696401,0.242049109386712
"ATF6",0.0594515602266508,-0.354750833891788,0.414202394118439
"BACH1",-0.0737809904169111,0.0457044955573908,-0.119485485974302
"CDX2",-0.0210021819650355,0.288161499535531,-0.309163681500566
"CEBPA",-0.136741868799577,0.582998868335603,-0.719740737135179
"CEBPB",-0.221642535975618,0.116847089701307,-0.338489625676925
"CEBPD",-0.13437856858685,0.249333228977338,-0.383711797564188
"CREB1",0.0280831068742569,-0.192350882058759,0.220433988933016
"CTCF",-0.192251055706308,0.346756577134881,-0.539007632841189
"E2F1",-0.975403582167787,0.564760086680953,-1.54016366884874
"E2F2",-1.01380673767206,0.745969293305029,-1.75977603097709
"E2F3",-0.281476895196283,-0.0413795390460144,-0.240097356150268
"E2F4",-1.43904379824524,0.922834819354925,-2.36187861760017
"EGR1",-0.014101584108894,-0.0339950461165718,0.0198934620076778
"ELK1",0.390450055110138,-0.409462171996025,0.799912227106163
"EPAS1",-0.108013968459829,0.0596805774648512,-0.167694545924681
"ERG",0.0783789886539468,0.015625973246307,0.0627530154076398
"ESR1",0.111033876871655,-0.0920954161875789,0.203129293059234
"ESR2",-0.140785938248747,0.445232691060689,-0.586018629309435
"ETS1",0.0622845189355867,-0.330773813629195,0.393058332564782
"ETS2",0.100345329530644,0.0993328269077116,0.00101250262293263
"ETV4",0.0530280632086639,0.311438365497463,-0.258410302288799
"FLI1",-0.571083283218618,0.599215322011262,-1.17029860522988
"FOS",0.133595721492566,-0.364185838897224,0.497781560389789
"FOSL1",0.0455675113176269,0.0523866507367583,-0.00681913941913137
"FOSL2",-0.136721976459951,0.269849505746731,-0.406571482206681
"FOXA1",-0.0380633100537831,0.085822448802708,-0.123885758856491
"FOXA2",0.179541503906329,-0.418457884797856,0.597999388704185
"FOXL2",0.242425337260678,-0.0871954468614484,0.329620784122127
"FOXM1",-0.478988494141741,0.353313797974236,-0.832302292115977
"FOXO1",0.143085356358934,0.0596821212985667,0.0834032350603674
"FOXO3",-0.352417690977175,0.184257140811488,-0.536674831788663
"FOXO4",-0.0791781815691005,0.403239117076641,-0.482417298645742
"FOXP1",-0.23677562638052,1.04539679713174,-1.28217242351226
"GATA1",-0.032120670546816,0.445287275170136,-0.477407945716952
"GATA2",-0.252794708092193,0.0658379954658238,-0.318632703558017
"GATA3",0.47483723223254,-0.305680821834602,0.780518054067142
"GLI2",-0.0152854359056919,-0.152812058239127,0.137526622333435
"HIF1A",-0.444564640529846,0.676128320569496,-1.12069296109934
"HNF1A",0.164718877405531,0.651315321269898,-0.486596443864366
"HNF4A",0.179782641496915,0.25868235086262,-0.0788997093657051
"HSF1",-0.623774563737177,0.773364508394563,-1.39713907213174
"IRF1",-0.192886932349614,0.0435315890192934,-0.236418521368908
"IRF9",0.428828747409888,-0.64693793175965,1.07576667916954
"JUN",0.156970033894074,-0.0327493879614458,0.189719421855519
"JUND",0.284786901908915,0.118935318740472,0.165851583168443
"KLF4",0.439994704037514,-0.748296478785982,1.1882911828235
"LEF1",-0.0110107880684062,-0.0609251623350114,0.0499143742666052
"MITF",-0.0201329620702125,-0.266042455052084,0.245909492981872
"MYB",0.0311774417919398,-0.106012719192168,0.137190160984108
"MYC",-1.05453063994291,0.944357915884088,-1.998888555827
"MYCN",-0.699815788118552,0.710407309732694,-1.41022309785125
"NFATC2",0.0930177809286313,-0.128922551601889,0.22194033253052
"NFE2L2",0.137996858192277,0.0300283563878904,0.107968501804386
"NFIC",-0.298629707033228,0.396183416179906,-0.694813123213135
"NFKB1",-0.158220365201866,0.270349563856878,-0.428569929058744
"NFKB2",0.250323837787339,-0.159265033245617,0.409588871032956
"NFYA",0.0158623898717454,0.157237924460768,-0.141375534589023
"NR2F2",0.0358859771364268,0.285981936144694,-0.250095959008268
"NR3C1",-0.0416430845185196,0.211904668546404,-0.253547753064924
"NR5A1",0.388322834936767,-0.416408759629106,0.804731594565873
"PAX6",-0.132953031018878,0.386823668946346,-0.519776699965224
"PAX8",0.0434687884991283,-0.0867303530249672,0.130199141524096
"PGR",-0.20695611864142,0.0837122836670243,-0.290668402308444
"POU2F1",-0.0049073908625334,-0.00653871306352855,0.00163132220099515
"PPARA",0.15629537621756,-0.345860712400525,0.502156088618085
"PPARG",0.263625217725906,-0.287691634015731,0.551316851741637
"PRDM14",0.0877502202939385,-0.0732086202245781,0.160958840518517
"RARA",-0.0129745723724171,0.153422849040378,-0.166397421412795
"REL",-0.191326428283648,0.148435421648218,-0.339761849931867
"RELA",-0.0507702299358716,-0.114678386328329,0.0639081563924574
"RELB",-0.192288563727554,0.0241662940949068,-0.216454857822461
"REST",0.0957316803989863,-0.15784395473561,0.253575635134597
"RFX5",-0.277757731655467,-0.0426606462334331,-0.235097085422034
"RFXANK",-0.280256275597319,-0.035721900396593,-0.244534375200726
"RFXAP",-0.280256275597319,-0.035721900396593,-0.244534375200726
"RUNX1",0.427291788858941,-0.516314785587851,0.943606574446793
"RUNX3",0.14301554428902,-0.350669165754554,0.493684710043574
"RXRA",-0.206136521902566,0.479196720864687,-0.685333242767253
"SMAD3",-0.0157219415399295,0.0566336252288596,-0.0723555667687891
"SMAD4",0.241140524145356,-0.134168055835376,0.375308579980732
"SOX10",0.105702885622596,-0.158649454008865,0.264352339631461
"SOX2",-0.00628720133628076,-0.160254504654191,0.15396730331791
"SOX9",0.322336761582388,-0.0603339630109603,0.382670724593349
"SP1",-0.00450050408611088,0.286335098440112,-0.290835602526223
"SP3",0.326554441023631,0.0136708382362826,0.312883602787349
"SPI1",-0.047575131432536,0.16106889836167,-0.208644029794206
"SREBF1",-0.151409264159919,-0.00556220148305483,-0.145847062676864
"SREBF2",0.027414739990118,0.0309351471681695,-0.0035204071780515
"SRF",-0.15847056730288,0.362647109694847,-0.521117676997727
"STAT1",0.0368649309416184,-0.842367107943647,0.879232038885266
"STAT2",0.195244892408283,-0.524610325812156,0.719855218220439
"STAT3",-0.183508809370389,0.116626412334864,-0.300135221705254
"STAT4",-0.151504143468971,0.140987029780363,-0.292491173249335
"STAT5A",-0.149665276853681,0.280932607810232,-0.430597884663913
"STAT5B",-0.199146533418541,0.284882894492478,-0.484029427911019
"STAT6",0.074377283657706,0.0213464549278772,0.0530308287298288
"TAL1",-0.413559589194537,0.408001422750779,-0.821561011945316
"TCF3",-0.0531497952107507,-0.166589597836415,0.113439802625664
"TCF7L2",0.118002679555719,-0.331375822878989,0.449378502434707
"TFAP2A",-0.0566440349154437,0.0881200100254158,-0.144764044940859
"TFAP2C",0.0903675817810886,-0.248492511007882,0.33886009278897
"TFDP1",-0.330149377698109,-0.106324499139898,-0.223824878558211
"TP53",-0.184979721369361,0.0794924091560753,-0.264472130525437
"TP63",0.141756205419707,0.383086871151637,-0.24133066573193
"TWIST1",-0.0598621603695078,-0.200227983965253,0.140365823595745
"USF1",-0.303626402415644,0.732935899393372,-1.03656230180902
"USF2",-0.348819493756322,0.857813772352148,-1.20663326610847
"VDR",0.146209128342719,-0.230512133459532,0.376721261802251
"WT1",0.0184137831371142,-0.0941600626676016,0.112573845804716
"YY1",0.0219568471603439,-0.199948849573747,0.221905696734091
"ZBTB33",-0.208282783392295,-0.0757483547881413,-0.132534428604154
"ZEB1",0.00179472413290818,-0.0128469089566894,0.0146416330895976
"ZNF263",0.172070433038025,0.27881542471358,-0.106744991675556
